Time;Frequency (Hz)1;Frequency (Hz)2;Frequency (Hz)3;Frequency (Hz)4;Frequency (Hz)5;Temp. sample ( C);Temp. (2e reading) ( C)
23.725;;60.465;;;;22.0;22.0
12.119;;61.5038;;;;22.0;22.0
72.037;;62.319;;;;22.0;22.0
132.078;;67.1397;;;;22.0;22.0
252.227;;59.8059;;;;24.0;24.0
312.281;;63.2495;;;;27.0;27.0
372.428;;64.2977;;;;29.0;29.0
432.373;;64.0555;;;;29.0;29.0
492.423;;63.4788;;;;29.0;29.0
552.446;;62.7797;;;;29.0;29.0
612.465;;66.9335;;;;31.0;31.0
672.681;;62.7042;;;;33.0;33.0
732.711;;66.831;;;;34.0;34.0
792.755;;65.2145;;;;34.0;34.0
852.788;;68.0336;;;;35.0;35.0
912.765;;69.3104;;;;38.0;38.0
972.816;;67.1114;;;;47.0;47.0
1032.884;;65.92;;;;55.0;55.0
1092.9821;;65.6393;;;;60.0;60.0
1153.025;;65.6553;;;;62.0;62.0
1213.062;;64.8808;;;;66.0;66.0
1273.046;;62.8141;;;;73.0;73.0
1333.098;;62.2596;;;;80.0;80.0
1393.3051;;65.4222;;;;84.0;84.0
1453.1899;;65.1264;;;;87.0;87.0
1513.334;;64.0195;;;;93.0;93.0
1573.351;;63.8858;;;;98.0;98.0
1633.374;;65.5531;;;;104.0;104.0
1693.421;;65.6755;;;;108.0;108.0
1753.446;;63.3192;;;;113.0;113.0
1813.473;;65.2952;;;;118.0;118.0
1873.687;;64.0069;;;;123.0;123.0
1933.7321;;64.8992;;;;129.0;129.0
1993.746;;65.3761;;;;134.0;134.0
2113.7981;;65.287;;;;143.0;143.0
2173.822;;68.3818;;;;148.0;148.0
2234.0549;;69.0728;;;;153.0;153.0
2294.105;;69.2918;;;;159.0;159.0
2353.9729;;69.6008;;;;164.0;164.0
2414.1699;;69.9235;;;;169.0;169.0
2474.1699;;70.4368;;;;173.0;173.0
2534.1169;;73.6888;;;;179.0;179.0
2594.2629;;70.357;;;;183.0;183.0
2654.2319;;71.1558;;;;188.0;188.0
2714.4399;;74.3342;;;;193.0;193.0
2774.436;;72.5291;;;;199.0;199.0
2834.542;;66.6965;;;;203.0;203.0
2894.5061;;66.6275;;;;209.0;209.0
2954.5339;;68.203;;;;213.0;213.0
3014.6599;;67.7275;;;;219.0;219.0
3074.6331;;66.0942;;;;224.0;224.0
3134.627;;68.3268;;;;229.0;229.0
3194.821;;76.3527;;;;234.0;234.0
3254.8191;;68.2973;;;;238.0;238.0
3314.8469;;67.0269;;;;244.0;244.0
3374.926;;65.8327;;;;249.0;249.0
3434.8589;;71.0295;;;;254.0;254.0
3494.9089;;71.0636;;;;259.0;259.0
3555.0681;;71.4256;;;;264.0;264.0
3615.0801;;73.9643;;;;269.0;269.0
3675.075;;69.6868;;;;274.0;274.0
3795.3159;;73.8063;;;;284.0;284.0
3855.3159;;87.2264;;;;289.0;289.0
3915.3669;;297.218;;;;294.0;294.0
4095.5149;;84.0896;;;;309.0;309.0
4215.5381;;87.5533;;;;319.0;319.0
4275.624;;89.1107;;;;324.0;324.0
4335.689;;78.931;;;;329.0;329.0
4395.709;;79.861;;;;334.0;334.0
4455.875;;80.6551;;;;339.0;339.0
4575.9258;;82.365;;;;349.0;349.0
4635.9741;;81.9502;;;;354.0;354.0
4696.0112;;80.0593;;;;359.0;359.0
4756.0112;;81.0849;;;;364.0;364.0
4816.0669;;81.1888;;;;369.0;369.0
4876.0708;;81.1291;;;;374.0;374.0
4936.1211;;80.728;;;;379.0;379.0
4996.1792;;81.571;;;;384.0;384.0
5056.354;;81.9734;;;;389.0;389.0
5116.3862;;83.1536;;;;394.0;394.0
5176.4048;;82.7072;;;;399.0;399.0
5236.4458;;84.1415;;;;404.0;404.0
5296.4961;;85.0712;;;;409.0;409.0
5356.5161;;86.3137;;;;414.0;414.0
5476.7139;;90.2958;;;;424.0;424.0
5536.7759;;85.7897;;;;429.0;429.0
5596.8149;;85.0098;;;;434.0;434.0
5656.7212;;87.2974;;;;439.0;439.0
5716.7612;;73.5764;;;;444.0;444.0
5896.9619;;88.9765;;;;459.0;459.0
6257.2578;;87.7477;;;;489.0;489.0
6317.4429;;85.4442;;;;494.0;494.0
6437.501;;;93.7254;;;504.0;504.0
6497.5088;;;97.2686;;;509.0;509.0
6557.4741;;99.1766;;;;514.0;514.0
6617.542;;91.9445;;;;519.0;519.0
6677.6182;;92.0672;;;;524.0;524.0
6737.8032;;111.517;;;;529.0;529.0
6797.8398;;86.0675;;;;534.0;534.0
6857.8149;;92.1087;;;;539.0;539.0
6917.874;;90.0226;;;;544.0;544.0
6977.8789;;94.2404;;;;549.0;549.0
7037.9019;;88.421;;;;554.0;554.0
7158.126;;271.297;;;;564.0;564.0
